Elapsed Time: 37.19 seconds | Position: x=5.21, y=-2.61
Elapsed Time: 37.29 seconds | Position: x=5.21, y=-2.63
Elapsed Time: 37.39 seconds | Position: x=5.21, y=-2.63
Elapsed Time: 37.49 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 37.59 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 37.69 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 37.79 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 37.89 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 37.99 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.09 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.19 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.29 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.40 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.49 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.59 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.69 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.80 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.89 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 38.99 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.10 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.20 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.29 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.39 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.49 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.59 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.69 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.79 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.89 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 39.99 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.09 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.19 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.29 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.39 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.49 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.59 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.69 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.79 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.89 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 40.99 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.09 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.19 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.29 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.39 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.50 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.59 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.72 seconds | Position: x=5.21, y=-2.64
Elapsed Time: 41.81 seconds | Position: x=5.22, y=-2.64
Elapsed Time: 41.89 seconds | Position: x=5.24, y=-2.64
Elapsed Time: 41.99 seconds | Position: x=5.26, y=-2.65
Elapsed Time: 42.10 seconds | Position: x=5.28, y=-2.65
