Elapsed Time: 112.74 seconds | Position: x=-6.02, y=18.07
Elapsed Time: 113.04 seconds | Position: x=-6.13, y=18.03
Elapsed Time: 113.25 seconds | Position: x=-6.23, y=17.98
Elapsed Time: 113.74 seconds | Position: x=-6.35, y=17.93
Elapsed Time: 113.75 seconds | Position: x=-6.48, y=17.88
Elapsed Time: 114.04 seconds | Position: x=-6.63, y=17.81
Elapsed Time: 114.44 seconds | Position: x=-6.80, y=17.75
Elapsed Time: 114.75 seconds | Position: x=-6.94, y=17.71
Elapsed Time: 115.34 seconds | Position: x=-7.09, y=17.70
Elapsed Time: 115.87 seconds | Position: x=-7.16, y=17.71
Elapsed Time: 116.35 seconds | Position: x=-7.22, y=17.73
Elapsed Time: 116.75 seconds | Position: x=-7.24, y=17.74
Elapsed Time: 117.25 seconds | Position: x=-7.24, y=17.75
Elapsed Time: 117.92 seconds | Position: x=-7.23, y=17.76
Elapsed Time: 118.25 seconds | Position: x=-7.24, y=17.77
Elapsed Time: 118.65 seconds | Position: x=-7.22, y=17.76
Elapsed Time: 119.16 seconds | Position: x=-7.20, y=17.77
Elapsed Time: 120.01 seconds | Position: x=-7.20, y=17.75
Elapsed Time: 120.08 seconds | Position: x=-7.20, y=17.75
